      Pres    T90(1)    T90(2)    Sal(1)   Cond(1)    Sal(2)   Cond(2)   OxCur        OXYG     Trans      Flur Altimeter      Time       wocecode
    2846.2   1.40640   1.40880  34.89136  31.37137  34.89135  31.37345  1.749700     6.422   -0.9594    0.0116     17.97   3066.25  2222222111111
    2846.2   1.40670   1.40860  34.89166  31.37187  34.89178  31.37362  1.749700     6.422   -0.9594    0.0116     17.92   3066.29  2222222111111
    2846.2   1.40710   1.40860  34.89117  31.37182  34.89193  31.37374  1.749700     6.422   -0.9862    0.0116     17.88   3066.33  2222222111111
    2846.2   1.40710   1.40860  34.89194  31.37244  34.89143  31.37333  1.749700     6.422   -0.9594    0.0116     17.85   3066.38  2222222111111
    2846.2   1.40780   1.40860  34.89176  31.37290  34.89085  31.37286  1.749700     6.422   -0.9594    0.0116     17.85   3066.42  2222222111111
    2846.2   1.40810   1.40940  34.89153  31.37297  34.89097  31.37365  1.749700     6.422   -0.9594    0.0115     17.85   3066.46  2222222111111
    2846.2   1.40840   1.41020  34.89137  31.37310  34.88992  31.37350  1.749700     6.422   -0.9594    0.0115     17.83   3066.50  2222222111111
    2846.2   1.40870   1.41080  34.89122  31.37324  34.89091  31.37481  1.749700     6.422   -0.9862    0.0114     17.78   3066.54  2222222111111
    2846.1   1.40900   1.41150  34.89123  31.37349  34.89004  31.37471  1.749700     6.422   -0.9862    0.0114     17.78   3066.58  2222222111111
    2846.1   1.40940   1.41220  34.89159  31.37412  34.89020  31.37544  1.749700     6.422   -0.9862    0.0113     17.78   3066.62  2222222111111
    2846.1   1.41000   1.41320  34.89113  31.37427  34.89004  31.37617  1.749700     6.422   -0.9862    0.0113     17.80   3066.67  2222222111111
    2846.1   1.40990   1.41350  34.89140  31.37439  34.89032  31.37665  1.749700     6.422   -0.9862    0.0112     17.75   3066.71  2222222111111
    2846.0   1.41000   1.41400  34.89146  31.37452  34.89105  31.37766  1.749700     6.422   -0.9862    0.0112     17.73   3066.75  2222222111111
    2846.0   1.41000   1.41430  34.89186  31.37483  34.89126  31.37809  1.749700     6.422   -0.9862    0.0112     17.73   3066.79  2222222111111
    2846.0   1.41000   1.41420  34.89187  31.37483  34.89197  31.37855  1.749700     6.422   -0.9862    0.0112     17.73   3066.83  2222222111111
    2846.0   1.41010   1.41430  34.89148  31.37458  34.89166  31.37838  1.749700     6.421   -0.9862    0.0111     17.75   3066.88  2222222111111
    2845.9   1.41050   1.41440  34.89146  31.37490  34.89216  31.37886  1.749700     6.421   -0.9862    0.0111     17.73   3066.92  2222222111111
    2845.9   1.41060   1.41440  34.89153  31.37503  34.89122  31.37809  1.749700     6.421   -0.9862    0.0111     17.73   3066.96  2222222111111
    2845.8   1.41050   1.41480  34.89165  31.37503  34.89104  31.37828  1.749700     6.421   -0.9862    0.0111     17.73   3067.00  2222222111111
    2845.8   1.41060   1.41490  34.89164  31.37509  34.89183  31.37899 -0.000000    -0.000   -0.9862    0.0111     17.73   3067.04  2222222411111
    2845.8   1.41050   1.41490  34.89177  31.37509  34.89134  31.37858  1.749700     6.421   -0.9862    0.0111     17.75   3067.08  2222222111111
    2845.7   1.41070   1.41490  34.89150  31.37503  34.89187  31.37899  1.749700     6.421   -0.9862    0.0111     17.78   3067.12  2222222111111
    2845.7   1.41060   1.41490  34.89139  31.37485  34.89175  31.37887  1.749700     6.421   -0.9862    0.0111     17.80   3067.17  2222222111111
    2845.6   1.41050   1.41510  34.89121  31.37460  34.89207  31.37929  1.749700     6.421   -0.9862    0.0110     17.80   3067.21  2222222111111
    2845.6   1.41030   1.41530  34.89160  31.37471  34.89174  31.37918  1.749700     6.421   -0.9862    0.0110     17.78   3067.25  2222222111111
    2845.5   1.41050   1.41570  34.89141  31.37472  34.89149  31.37931  1.749700     6.421   -0.9862    0.0110     17.83   3067.29  2222222111111
    2845.5   1.41060   1.41580  34.89133  31.37472  34.89199  31.37978  1.749700     6.421   -0.9862    0.0110     17.85   3067.33  2222222111111
    2845.4   1.41080   1.41620  34.89199  31.37541  34.89211  31.38020  1.749700     6.421   -0.9862    0.0110     17.85   3067.38  2222222111111
    2845.4   1.41110   1.41700  34.89178  31.37548  34.89079  31.37981  1.749700     6.421   -0.9862    0.0110     17.85   3067.42  2222222111111
    2845.3   1.41120   1.41750  34.89170  31.37548  34.89080  31.38024  1.749700     6.421   -0.9862    0.0110     17.85   3067.46  2222222111111
    2845.3   1.41140   1.41780  34.89167  31.37562  34.89175  31.38124  1.749700     6.421   -0.9862    0.0110     17.92   3067.50  2222222111111
    2845.2   1.41140   1.41820  34.89155  31.37549  34.89187  31.38167  1.749700     6.421   -0.9862    0.0110     17.97   3067.54  2222222111111
    2845.2   1.41160   1.41880  34.89137  31.37550  34.89076  31.38127  1.749700     6.421   -0.9862    0.0110     17.97   3067.58  2222222111111
    2845.1   1.41160   1.41900  34.89155  31.37562  34.89182  31.38228  1.749700     6.420   -0.9862    0.0110     17.97   3067.62  2222222111111
    2845.0   1.41160   1.41900  34.89165  31.37568  34.89170  31.38216  1.749700     6.420   -0.9862    0.0110     17.97   3067.67  2222222111111
    2845.0   1.41190   1.41900  34.89190  31.37613  34.89261  31.38287  1.749700     6.420   -0.9862    0.0110     18.07   3067.71  2222222111111
    2844.9   1.41210   1.41890  34.89180  31.37619  34.89223  31.38245  1.749700     6.420   -0.9862    0.0110     18.12   3067.75  2222222111111
    2844.9   1.41230   1.41890  34.89170  31.37626  34.89277  31.38286  1.749700     6.420   -0.9862    0.0110     18.14   3067.79  2222222111111
    2844.8   1.41290   1.41890  34.89141  31.37653  34.89228  31.38245  1.749700     6.420   -0.9862    0.0110     18.12   3067.83  2222222111111
    2844.7   1.41290   1.41850  34.89205  31.37702  34.89251  31.38226  1.749700     6.420   -0.9862    0.0110     18.14   3067.88  2222222111111
    2844.7   1.41270   1.41870  34.89237  31.37708  34.89219  31.38215  1.749700     6.420   -0.9862    0.0110     18.24   3067.92  2222222111111
    2844.6   1.41290   1.41880  34.89204  31.37696  34.89116  31.38139  1.749700     6.420   -0.9862    0.0110     18.29   3067.96  2222222111111
    2844.6   1.41290   1.41870  34.89199  31.37690  34.89203  31.38197  1.749700     6.420   -0.9862    0.0110     18.29   3068.00  2222222111111
    2844.5   1.41360   1.41850  34.89152  31.37710  34.89249  31.38214  1.749700     6.420   -0.9862    0.0110     18.29   3068.04  2222222111111
    2844.4   1.41380   1.41890  34.89180  31.37748  34.89188  31.38198  1.749700     6.419   -0.9862    0.0110     18.34   3068.08  2222222111111
    2844.4   1.41370   1.41900  34.89178  31.37735  34.89202  31.38216  1.749700     6.419   -0.9862    0.0110     18.49   3068.12  2222222111111
    2844.3   1.41330   1.41920  34.89185  31.37703  34.89199  31.38228  1.749700     6.419   -0.9862    0.0110     18.53   3068.17  2222222111111
    2844.2   1.41380   1.41940  34.89143  31.37711  34.89203  31.38246  1.749700     6.419   -0.9862    0.0110     18.53   3068.21  2222222111111
    2844.2   1.41350   1.41950  34.89224  31.37747  34.89247  31.38288  1.749700     6.419   -0.9862    0.0110     18.51   3068.25  2222222111111
    2844.1   1.41380   1.41940  34.89203  31.37754  34.89209  31.38246  1.749700     6.419   -0.9862    0.0110     18.58   3068.29  2222222111111
    2844.0   1.41380   1.41920  34.89199  31.37748  34.89248  31.38257  1.749700     6.419   -0.9862    0.0110     18.71   3068.33  2222222111111
    2844.0   1.41450   1.41940  34.89167  31.37781  34.89216  31.38246  1.749700     6.419   -0.9862    0.0110     18.73   3068.38  2222222111111
    2843.9   1.41450   1.41920  34.89201  31.37806  34.89254  31.38257  1.749700     6.419   -0.9862    0.0110     18.73   3068.42  2222222111111
    2843.8   1.41470   1.41870  34.89191  31.37812  34.89259  31.38215  1.749700     6.419   -0.9862    0.0110     18.73   3068.46  2222222111111
    2843.7   1.41480   1.41870  34.89184  31.37812  34.89240  31.38197  1.749700     6.419   -0.9862    0.0110     18.85   3068.50  2222222111111
    2843.7   1.41460   1.41850  34.89162  31.37775  34.89250  31.38185  1.749700     6.419   -0.9862    0.0110     18.95   3068.54  2222222111111
    2843.6   1.41450   1.41850  34.89176  31.37774  34.89231  31.38167  1.749700     6.419   -0.9862    0.0111     18.97   3068.58  2222222111111
    2843.5   1.41410   1.41810  34.89205  31.37761  34.89261  31.38154  1.749700     6.419   -0.9862    0.0111     18.97   3068.62  2222222111111
    2843.5   1.41430   1.41820  34.89172  31.37749  34.89232  31.38137  1.749700     6.419   -0.9862    0.0111     18.97   3068.67  2222222111111
    2843.4   1.41430   1.41780  34.89183  31.37755  34.89263  31.38124  1.749700     6.419   -0.9862    0.0111     19.12   3068.71  2222222111111
    2843.3   1.41430   1.41790  34.89186  31.37755  34.89197  31.38077  1.749700     6.418   -0.9862    0.0111     19.24   3068.75  2222222111111
    2843.3   1.41410   1.41820  34.89156  31.37711  34.89154  31.38066  1.749700     6.418   -0.9862    0.0111     19.24   3068.79  2222222111111
